Clinical Indication,Modality,canonical,synonyms
Suspected intracranial hemorrhage. Initial imaging.,CT Head without IV contrast ,suspected intracranial hemorrhage initial imaging,Suspected intracranial hemorrhage. Initial imaging.|suspected intracranial hemorrhage initial imaging
Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.,CTA head with IV contrast; Arteriography cervicocerebral,known acute subarachnoid hemorrhage subarachnoid hemorrhage on ct next imaging study,Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.|known acute subarachnoid hemorrhage subarachnoid hemorrhage on ct next imaging study
Suspected ischemic stroke,Follow imaging protocol per evaluation by stroke service,suspected ischemic stroke,Suspected ischemic stroke|suspected ischemic stroke
Major trauma,Follow imaging protocol per evaluation by trauma service,major trauma,Major trauma|major trauma
Suspected cervical vascular dissection or injury. Initial imaging.,CT Head without IV contrast; CTA neck with IV contrast; MRA neck with IV contrast ,suspected cervical vascular dissection or injury initial imaging,Suspected cervical vascular dissection or injury. Initial imaging.|suspected cervical vascular dissection or injury initial imaging
Suspected dural venous sinus thrombosis. Initial imaging.,CT head without IV contrast; CTV head with IV contrast; MRV head without IV contrast; MRV head without and with IV contrast; MRI head without IV contrast; MRI head without and with IV contrast ,suspected dural venous sinus thrombosis initial imaging,Suspected dural venous sinus thrombosis. Initial imaging.|suspected dural venous sinus thrombosis initial imaging
Venous thoracic outlet syndrome,Radiography chest; CT chest with IV contrast; US duplex Doppler subclavian artery and vein; Catheter venography upper extremity ,venous thoracic outlet syndrome,Venous thoracic outlet syndrome|venous thoracic outlet syndrome
Suspected Acute Aortic Syndrome,CTA aorta dissection protocol,suspected acute aortic syndrome,Suspected Acute Aortic Syndrome|suspected acute aortic syndrome
"Infective Endocarditis, initial imaging",Transthoracic Echocardiogram (TTE); chest radiograph; Cardiac CT structure and morphology if patient cannot undergo TTE ,infective endocarditis initial imaging,"Infective Endocarditis, initial imaging|infective endocarditis initial imaging"
"Respiratory illness, acute, immunodeficiency, infection suspected, radiography done",CT chest without IV contrast,respiratory illness acute immunodeficiency infection suspected radiography done,"Respiratory illness, acute, immunodeficiency, infection suspected, radiography done|respiratory illness acute immunodeficiency infection suspected radiography done"
"Respiratory illness, acute, immunocompetent, abnormal vital signs, chest radiography indeterminate, next imaging study",CT chest without IV contrast; CT chest with IV contrast,respiratory illness acute immunocompetent abnormal vital signs chest radiography indeterminate next imaging study,"Respiratory illness, acute, immunocompetent, abnormal vital signs, chest radiography indeterminate, next imaging study|respiratory illness acute immunocompetent abnormal vital signs chest radiography indeterminate next imaging study"
"Vaginal bleeding, first trimester, initial imaging.",US pelvis transabodominal and transvaginal ,vaginal bleeding first trimester initial imaging,"Vaginal bleeding, first trimester, initial imaging.|vaginal bleeding first trimester initial imaging"
Postpartum Hemorrhage,US pelvis transabodominal and transvaginal ,postpartum hemorrhage,Postpartum Hemorrhage|postpartum hemorrhage
"Acute Pelvic Pain in Reproductive Age, positive β-hCG. Initial imaging.",US pelvis transabodominal and transvaginal ,acute pelvic pain in reproductive age positive hcg initial imaging,"Acute Pelvic Pain in Reproductive Age, positive β-hCG. Initial imaging.|acute pelvic pain in reproductive age positive hcg initial imaging"
"Acute Pelvic Pain in Reproductive Age, non gynecological etiology susbected, negative β-hCG. Initial imaging.",US pelvis transabodominal and transvaginal; CT abdomen and pelvis with IV contrast,acute pelvic pain in reproductive age non gynecological etiology susbected negative hcg initial imaging,"Acute Pelvic Pain in Reproductive Age, non gynecological etiology susbected, negative β-hCG. Initial imaging.|acute pelvic pain in reproductive age non gynecological etiology susbected negative hcg initial imaging"
"Acute Pelvic Pain in Reproductive Age, gynecological etiology susbected, negative β-hCG. Initial imaging.",US pelvis transabodominal and transvaginal,acute pelvic pain in reproductive age gynecological etiology susbected negative hcg initial imaging,"Acute Pelvic Pain in Reproductive Age, gynecological etiology susbected, negative β-hCG. Initial imaging.|acute pelvic pain in reproductive age gynecological etiology susbected negative hcg initial imaging"
"Acute Pelvic Pain, postmenopausal. Initial imaging.",US pelvis transabodominal and transvaginal; CT abdomen and pelvis with IV contrast,acute pelvic pain postmenopausal initial imaging,"Acute Pelvic Pain, postmenopausal. Initial imaging.|acute pelvic pain postmenopausal initial imaging"
Abnormal Uterine Bleeding. Initial Imaging.,US pelvis transabodominal and transvaginal ,abnormal uterine bleeding initial imaging,Abnormal Uterine Bleeding. Initial Imaging.|abnormal uterine bleeding initial imaging
Suspected Spine Infection,MRI Spine with and without IV contrast ,suspected spine infection,Suspected Spine Infection|suspected spine infection
"Penetrating Neck trauma, clinical soft tissue injurysigns",CTA Neck with IV contrast,penetrating neck trauma clinical soft tissue injurysigns,"Penetrating Neck trauma, clinical soft tissue injurysigns|penetrating neck trauma clinical soft tissue injurysigns"
Acute onset myelopathy,MRI Spine with and without IV contras; MRI Spine without IV contrast,acute onset myelopathy,Acute onset myelopathy|acute onset myelopathy
Suspected Nonvariceal Upper Gastrointestinal Bleeding,Endoscopy (first-line); CTA Abdomen/Pelvis without and with IV contrast GI bleed protocol,suspected nonvariceal upper gastrointestinal bleeding,Suspected Nonvariceal Upper Gastrointestinal Bleeding|suspected nonvariceal upper gastrointestinal bleeding
Jaundice,Ultrasound abdomen; CT Abdomen with IV contrast; MRI abdomen/MRCP without and with IV contrast,jaundice,Jaundice|jaundice
Mesenteric Ischemia,"CTA Abdomen and Pelvis with IV contrast, ischemic bowel protocol",mesenteric ischemia,Mesenteric Ischemia|mesenteric ischemia
"Suspected abdominal wall hernia. 
Initial imaging.",CT Abdomen/Pelvis with IV contrast; CT Abdomen/Pelvis without IV contrast; Ultrasound abdomen,suspected abdominal wall hernia initial imaging,"Suspected abdominal wall hernia. 
Initial imaging.|suspected abdominal wall hernia initial imaging"
Suspected groin hernia such as inguinal or femoral. Initial imaging.,US pelvis; CT Abdomen/Pelvis with IV contrast; CT Abdomen/Pelvis without IV contrast; CT Pelvis with IV contrast; CT Pelvis without IV contrast; MRI pelvis without and with IV contrast ,suspected groin hernia such as inguinal or femoral initial imaging,Suspected groin hernia such as inguinal or femoral. Initial imaging.|suspected groin hernia such as inguinal or femoral initial imaging
Suspected Active Tuberculosis,Chest X-ray; CT Chest without IV contrast,suspected active tuberculosis,Suspected Active Tuberculosis|suspected active tuberculosis
Massive Hemoptysis,Arteriography bronchial with embolization; CTA chest with IV contrast; CT chest with IV contrast; Chest radiography,massive hemoptysis,Massive Hemoptysis|massive hemoptysis
"Suspected Deep Vein Thrombosis, upper or lower extremity",US duplex Doppler,suspected deep vein thrombosis upper or lower extremity,"Suspected Deep Vein Thrombosis, upper or lower extremity|suspected deep vein thrombosis upper or lower extremity"
Acute onset of scrotal Pain without trauma,Scrotal Ultrasound with Doppler,acute onset of scrotal pain without trauma,Acute onset of scrotal Pain without trauma|acute onset of scrotal pain without trauma
Acute Onset Flank Pain. Suspicion of Stone Disease.,CT Abdomen/Pelvis without IV contrast,acute onset flank pain suspicion of stone disease,Acute Onset Flank Pain. Suspicion of Stone Disease.|acute onset flank pain suspicion of stone disease
Pregnant patient. Acute onset flank pain. Suspicion of stone disease.,US kidneys and bladder retroperitoneal ,pregnant patient acute onset flank pain suspicion of stone disease,Pregnant patient. Acute onset flank pain. Suspicion of stone disease.|pregnant patient acute onset flank pain suspicion of stone disease
"Suspected or confirmed sepsis. No specific symptoms suggestive of origin, or symptoms cannot be assessed. Initial imaging.",Chest radiography,suspected or confirmed sepsis no specific symptoms suggestive of origin or symptoms cannot be assessed initial imaging,"Suspected or confirmed sepsis. No specific symptoms suggestive of origin, or symptoms cannot be assessed. Initial imaging.|suspected or confirmed sepsis no specific symptoms suggestive of origin or symptoms cannot be assessed initial imaging"
"Suspected or confirmed sepsis. No specific symptoms suggestive of origin, or symptoms cannot be assessed. Normal or equivocal or nonspecific chest radiograph. Next imaging study.",CT abdomen and pelvis with IV contrast ,suspected or confirmed sepsis no specific symptoms suggestive of origin or symptoms cannot be assessed normal or equivocal or nonspecific chest radiograph next imaging study,"Suspected or confirmed sepsis. No specific symptoms suggestive of origin, or symptoms cannot be assessed. Normal or equivocal or nonspecific chest radiograph. Next imaging study.|suspected or confirmed sepsis no specific symptoms suggestive of origin or symptoms cannot be assessed normal or equivocal or nonspecific chest radiograph next imaging study"
Suspected Small-Bowel Obstruction,CT Abdomen/Pelvis with IV contrast ,suspected small bowel obstruction,Suspected Small-Bowel Obstruction|suspected small bowel obstruction
Right upper quadrant pain. Suspected biliary disease. Initial imaging,Right Upper Quadrant Ultrasound,right upper quadrant pain suspected biliary disease initial imaging,Right upper quadrant pain. Suspected biliary disease. Initial imaging|right upper quadrant pain suspected biliary disease initial imaging|rt upper quadrant pain suspected biliary disease initial imaging
"Right upper quadrant pain. Fever, elevated WBC count. Suspected biliary disease. Negative or equivocal ultrasound. Next imaging study.","MRI abdomen without and with IV
contrast with MRCP; CT abdomen with IV contrast; Nuclear medicine scan gallbladder",right upper quadrant pain fever elevated wbc count suspected biliary disease negative or equivocal ultrasound next imaging study,"Right upper quadrant pain. Fever, elevated WBC count. Suspected biliary disease. Negative or equivocal ultrasound. Next imaging study.|right upper quadrant pain fever elevated wbc count suspected biliary disease negative or equivocal ultrasound next imaging study|rt upper quadrant pain fever elevated wbc count suspected biliary disease negative or equivocal ultrasound next imaging study"
"Right upper quadrant pain. Suspected acalculous cholecystitis. Negative or equivocal
ultrasound. Next imaging study.",Nuclear medicine scan gallbladder,right upper quadrant pain suspected acalculous cholecystitis negative or equivocal ultrasound next imaging study,"Right upper quadrant pain. Suspected acalculous cholecystitis. Negative or equivocal
ultrasound. Next imaging study.|right upper quadrant pain suspected acalculous cholecystitis negative or equivocal ultrasound next imaging study|rt upper quadrant pain suspected acalculous cholecystitis negative or equivocal ultrasound next imaging study"
"RLQ pain, fever, leukocytosis, appendicitis suspected, initial imaging",CT abdomen and pelvis with IV contrast,right lower quadrant pain fever leukocytosis appendicitis suspected initial imaging,"RLQ pain, fever, leukocytosis, appendicitis suspected, initial imaging|right lower quadrant pain fever leukocytosis appendicitis suspected initial imaging|rt lower quadrant pain fever leukocytosis appendicitis suspected initial imaging"
"Pregnant woman. Right lower quadrant pain, fever, leukocytosis. Suspected appendicitis.
Initial imaging.",MRI abdomen and pelvis without IV contrast,pregnant woman right lower quadrant pain fever leukocytosis suspected appendicitis initial imaging,"Pregnant woman. Right lower quadrant pain, fever, leukocytosis. Suspected appendicitis.
Initial imaging.|pregnant woman right lower quadrant pain fever leukocytosis suspected appendicitis initial imaging|pregnant woman rt lower quadrant pain fever leukocytosis suspected appendicitis initial imaging"
"Suspected Osteomyelitis, initial imaging",Radiography area of interest ,suspected osteomyelitis initial imaging,"Suspected Osteomyelitis, initial imaging|suspected osteomyelitis initial imaging"
Suspected osteomyelitis. Initial radiographs normal or with findings suggestive of osteomyelitis. Next imaging study.,MRI area of interest without and with IV contrast; MRI area of interest without IV contrast ,suspected osteomyelitis initial radiographs normal or with findings suggestive of osteomyelitis next imaging study,Suspected osteomyelitis. Initial radiographs normal or with findings suggestive of osteomyelitis. Next imaging study.|suspected osteomyelitis initial radiographs normal or with findings suggestive of osteomyelitis next imaging study
Acute Trauma to extremity,"Initial imaging with radiolography area of interest, consider subsequent cross-sectional imaging if clinically warranted or surgical planning",acute trauma to extremity,Acute Trauma to extremity|acute trauma to extremity
"Suspected Acute Pyelonephritis, first time presentation in an uncomplicatd patient",Imaging is usually not indicated,suspected acute pyelonephritis first time presentation in an uncomplicatd patient,"Suspected Acute Pyelonephritis, first time presentation in an uncomplicatd patient|suspected acute pyelonephritis first time presentation in an uncomplicatd patient"
"Suspected Acute Pyelonephritis, complicated patient",CT Abdomen/Pelvis with IV contrast ,suspected acute pyelonephritis complicated patient,"Suspected Acute Pyelonephritis, complicated patient|suspected acute pyelonephritis complicated patient"
Suspected Pulmonary Embolism,CTPE with IV contrast; V/Q scan lung,suspected pulmonary embolism,Suspected Pulmonary Embolism|suspected pulmonary embolism
Gross hematuria. ,CT Urography without and with IV contrast ,gross hematuria,Gross hematuria.|gross hematuria
"Microhematuria. Patients with risk factors, without any of the following: history of recent vigorous exercise, or presence of infection or viral illness, or present or recent menstruation, or renal parenchymal disease. ",CT Urography without and with IV contrast ,microhematuria patients with risk factors without any of the following history of recent vigorous exercise or presence of infection or viral illness or present or recent menstruation or renal parenchymal disease,"Microhematuria. Patients with risk factors, without any of the following: history of recent vigorous exercise, or presence of infection or viral illness, or present or recent menstruation, or renal parenchymal disease.|microhematuria patients with risk factors without any of the following history of recent vigorous exercise or presence of infection or viral illness or present or recent menstruation or renal parenchymal disease"
Suspected rib fractures from minor blunt trauma (injury confined to ribs). Initial imaging.,Radiography chest ,suspected rib fractures from minor blunt trauma injury confined to ribs initial imaging,Suspected rib fractures from minor blunt trauma (injury confined to ribs). Initial imaging.|suspected rib fractures from minor blunt trauma injury confined to ribs initial imaging
Suspected Retroperitoneal Bleed,CT abdomen and pelvis with IV contrast; CTA abdomen and pelvis with IV contrast,suspected retroperitoneal bleed,Suspected Retroperitoneal Bleed|suspected retroperitoneal bleed
"Pulsatile abdominal mass, suspected abdominal aortic aneurysm. Initial imaging.",US aorta abdomen; CTA abdomen and pelvis with IV contrast; MRA abdomen and pelvis with IV contrast; MRA abdomen and pelvis without IV contrast ,pulsatile abdominal mass suspected abdominal aortic aneurysm initial imaging,"Pulsatile abdominal mass, suspected abdominal aortic aneurysm. Initial imaging.|pulsatile abdominal mass suspected abdominal aortic aneurysm initial imaging"
"Sudden onset of cold, painful leg. Suspected vascular compromise. Initial imaging.","Arteriography lower extremity; CTA lower extremity with IV contrast; CTA abdomen and pelvis with bilateral lower
extremity runoff with IV contrast ",sudden onset of cold painful leg suspected vascular compromise initial imaging,"Sudden onset of cold, painful leg. Suspected vascular compromise. Initial imaging.|sudden onset of cold painful leg suspected vascular compromise initial imaging"
Suspected orbital cellulitis.,CT orbits with IV contrast; MRI orbits without and with IV contrast,suspected orbital cellulitis,Suspected orbital cellulitis.|suspected orbital cellulitis
Suspected optic neuritis. Initial imaging.,MRI orbits without and with IV contrast; MRI head without and with IV contrast ,suspected optic neuritis initial imaging,Suspected optic neuritis. Initial imaging.|suspected optic neuritis initial imaging
,,,
,,,
Note 1: Studies listed are considered usually appropriate for the corresponding indication by ACR Appropriateness Criteria. Please select studies tailoring to each patient's clinical scenario.,,note 1 studies listed are considered usually appropriate for the corresponding indication by acr appropriateness criteria please select studies tailoring to each patient s clinical scenario,Note 1: Studies listed are considered usually appropriate for the corresponding indication by ACR Appropriateness Criteria. Please select studies tailoring to each patient's clinical scenario.|note 1 studies listed are considered usually appropriate for the corresponding indication by acr appropriateness criteria please select studies tailoring to each patient s clinical scenario
"Note 2: this list is generalted based on commonly enountered indications in an Adult Emergency Department setting. For a more comprehensive list, please refer to ACR Appropriateness Criteria at https://gravitas.acr.org/acportal",,note 2 this list is generalted based on commonly enountered indications in an adult emergency department setting for a more comprehensive list please refer to acr appropriateness criteria at https gravitas acr org acportal,"Note 2: this list is generalted based on commonly enountered indications in an Adult Emergency Department setting. For a more comprehensive list, please refer to ACR Appropriateness Criteria at https://gravitas.acr.org/acportal|note 2 this list is generalted based on commonly enountered indications in an adult emergency department setting for a more comprehensive list please refer to acr appropriateness criteria at https gravitas acr org acportal"
